ABG13989,ABX86883,AAS62548
ABG14041,ABX86943,AAS62600
ABG16248,ABX88722,AAS58541
AAS64014,ABX85362,ABG15650
AAS63026,ABX88211,ABG12424
AAS63209,ABX85293,ABG15029
AAS60652,ABX85812,ABG14800
AAS62424,ABX86638,ABG13741
ABG14797,ABX87836,AAS60649
AAS61976,ABX84937,ABG13764
AAS63827,ABX87786,ABG16056
AAS61076,ABX86166,ABG14574
AAS62663,ABX86398,ABG14354
ABG13821,ABX85685,AAS62021
AAS60417,ABX88075,ABG15293
AAS58699,ABX84848,ABG16188
AAS62509,ABX86201,ABG13947
ABG14188,ABX88290,AAS62850
ABG14972,ABX88432,AAS64124
ABG15959,ABX86178,AAS60710
ABG15188,ABX85898,AAS60521
ABG15244,ABX87694,AAS60464
ABG13769,ABX86084,AAS61971
ABG12435,ABX85148,AAS63037
AAS61907,ABX86985,ABG13284
ABG14081,ABX85991,AAS62640
AAS63924,ABX86597,ABG15841
ABG14813,ABX85181,AAS60666
AAS62242,ABX86589,ABG13553
AAS63949,ABX88080,ABG15716
AAS60703,ABX84878,ABG15966
ABG16254,ABX88706,AAS58547
AAS60541,ABX85526,ABG14883
AAS62813,ABX87422,ABG14150
ABG13773,ABX85377,AAS61967
AAS58571,ABX88711,ABG16274
ABG14749,ABX86616,AAS60604
ABG12591,ABX87672,AAS61503
ABG14007,ABX85431,AAS62565
ABG12451,ABX85881,AAS63055
ABG15422,ABX87598,AAS60363
ABG15610,ABX86857,AAS64057
ABG13255,ABX86097,AAS61883
AAS60523,ABX88757,ABG15562
AAS60887,ABX85006,ABG14929
ABG14884,ABX85803,AAS60540
ABG12854,ABX86678,AAS61216
ABG13872,ABX85152,AAS62444
ABG13430,ABX86772,AAS62142
AAS62506,ABX87651,ABG13944
ABG15737,ABX85267,AAS63474
ABG12192,ABX88299,AAS63416
AAS62334,ABX86466,ABG13653
ABG12106,ABX85048,AAS63332
AAS62790,ABX87075,ABG14126
AAS63515,ABX85740,ABG15777
AAS63794,ABX88215,ABG15522
ABG12670,ABX87111,AAS61428
ABG13328,ABX87983,AAS62049
ABG12197,ABX87799,AAS63421
ABG14901,ABX86171,AAS60914
ABG14369,ABX87624,AAS62676
ABG15131,ABX88036,AAS63120
ABG14440,ABX87973,AAS61338
AAS63656,ABX86443,ABG12293
AAS63734,ABX85228,ABG12353
AAS63639,ABX87014,ABG12275
ABG16055,ABX88330,AAS63828
ABG13416,ABX88346,AAS62127
ABG12346,ABX87821,AAS63738
ABG15282,ABX86739,AAS60429
AAS60639,ABX87092,ABG14786
AAS63546,ABX87286,ABG16069
ABG12311,ABX87674,AAS63673
ABG15114,ABX86410,AAS63133
ABG12297,ABX85425,AAS63660
ABG14390,ABX84974,AAS62697
ABG12830,ABX85790,AAS61693
ABG13504,ABX85422,AAS62195
ABG13995,ABX86235,AAS62553
AAS63179,ABX85608,ABG15068
AAS60654,ABX87235,ABG14802
ABG16252,ABX88732,AAS58545
AAS63861,ABX88573,ABG16022
ABG12083,ABX86330,AAS63310
ABG12287,ABX87600,AAS63650
ABG15915,ABX85270,AAS60753
ABG12685,ABX85364,AAS61414
ABG12573,ABX86606,AAS61279
ABG13012,ABX88509,AAS61273
ABG15201,ABX87299,AAS60508
ABG14384,ABX86617,AAS62691
ABG14575,ABX85598,AAS61075
ABG15292,ABX88658,AAS60418
ABG14235,ABX85757,AAS62889
AAS63961,ABX85629,ABG15705
ABG14017,ABX87171,AAS62577
ABG14628,ABX85067,AAS61024
AAS62018,ABX87487,ABG13824
ABG13356,ABX88134,AAS62074
ABG14597,ABX88064,AAS61056
AAS60784,ABX85248,ABG15885
ABG14608,ABX86177,AAS61045
ABG15463,ABX87376,AAS60323
AAS64112,ABX87972,ABG14986
AAS63887,ABX85781,ABG15803
ABG16214,ABX84781,AAS58748
ABG15004,ABX86536,AAS63231
AAS60308,ABX86908,ABG15478
ABG13238,ABX86044,AAS61737
ABG15501,ABX87491,AAS63770
ABG13342,ABX85097,AAS62060
ABG12215,ABX88405,AAS63439
AAS63555,ABX86407,ABG16083
AAS61739,ABX85801,ABG13236
AAS63098,ABX87538,ABG15154
AAS61382,ABX86148,ABG14488
AAS58665,ABX84805,ABG16166
AAS61860,ABX86462,ABG13105
AAS60798,ABX85894,ABG15873
AAS62770,ABX85169,ABG14105
ABG13296,ABX85913,AAS61920
ABG14042,ABX85339,AAS62601
ABG12669,ABX85921,AAS61429
AAS62259,ABX87474,ABG13570
AAS58570,ABX88735,ABG16323
AAS63758,ABX85536,ABG12324
ABG15910,ABX87486,AAS60758
ABG14870,ABX86626,AAS60555
ABG16194,ABX84835,AAS58705
ABG13033,ABX87962,AAS61251
AAS61416,ABX88104,ABG12683
ABG14354,ABX86398,AAS62663
AAS61787,ABX86937,ABG13184
ABG14838,ABX86243,AAS60583
ABG15074,ABX87772,AAS63173
ABG15236,ABX86803,AAS60473
AAS60514,ABX87362,ABG15195
AAS61374,ABX87106,ABG14477
AAS61768,ABX85722,ABG13206
AAS63045,ABX85302,ABG12443
ABG15829,ABX86467,AAS63913
AAS64010,ABX86049,ABG15654
AAS63299,ABX85092,ABG12072
AAS60884,ABX88446,ABG14932
AAS60658,ABX85928,ABG14805
AAS62637,ABX86399,ABG14077
ABG13984,ABX86540,AAS62543
ABG13792,ABX87042,AAS61948
ABG15815,ABX88318,AAS63898
AAS61665,ABX86663,ABG12797
ABG16247,ABX88768,AAS58540
ABG15430,ABX87271,AAS60355
AAS63869,ABX85893,ABG16014
AAS60797,ABX85002,ABG15874
ABG14528,ABX86505,AAS61114
AAS62829,ABX84939,ABG14167
AAS62113,ABX86991,ABG13401
ABG16313,ABX88777,AAS58528
ABG13824,ABX87487,AAS62018
AAS62001,ABX87692,ABG13846
AAS60725,ABX88557,ABG15945
ABG15911,ABX85213,AAS60757
AAS62498,ABX87508,ABG13935
ABG14964,ABX86306,AAS64132
ABG15730,ABX85784,AAS63466
ABG14762,ABX87871,AAS60617
ABG13230,ABX85933,AAS61744
ABG12347,ABX88161,AAS63737
AAS63918,ABX87718,ABG15835
ABG14604,ABX87044,AAS61049
ABG12049,ABX85920,AAS60823
AAS61685,ABX84894,ABG12820
ABG12979,ABX86934,AAS61540
AAS62518,ABX88151,ABG13958
ABG13947,ABX86201,AAS62509
AAS63406,ABX85724,ABG12180
AAS61921,ABX86340,ABG13297
ABG12770,ABX85295,AAS61638
ABG14724,ABX86500,AAS60927
AAS63833,ABX86854,ABG16049
AAS61386,ABX85842,ABG14492
AAS62985,ABX88292,ABG12493
ABG15881,ABX85735,AAS60789
AAS64044,ABX87400,ABG15623
AAS60953,ABX87442,ABG14698
ABG12476,ABX87245,AAS63001
AAS62462,ABX88596,ABG13893
ABG12157,ABX87747,AAS63382
AAS58561,ABX88784,ABG16265
ABG16124,ABX86421,AAS64164
ABG15554,ABX87852,AAS63823
ABG14977,ABX85103,AAS64118
AAS61612,ABX88582,ABG12743
ABG11980,ABX86799,AAS60289
ABG13085,ABX85614,AAS61724
AAS62022,ABX85858,ABG13820
AAS62700,ABX87139,ABG14393
AAS62299,ABX84864,ABG13618
ABG13867,ABX87335,AAS61980
ABG12513,ABX85538,AAS62965
ABG15887,ABX87734,AAS60782
AAS62892,ABX87509,ABG14238
AAS61174,ABX88082,ABG12900
AAS63687,ABX87711,ABG12400
AAS62953,ABX86905,ABG12526
AAS60320,ABX85923,ABG15466
AAS61283,ABX87779,ABG12569
ABG13521,ABX87887,AAS62212
ABG14257,ABX87563,AAS62908
ABG12077,ABX87424,AAS63304
ABG15883,ABX87837,AAS60787
AAS63773,ABX85128,ABG15504
ABG12502,ABX87990,AAS62976
AAS61431,ABX85151,ABG12667
AAS61488,ABX86710,ABG12606
AAS63384,ABX86072,ABG12159
AAS63890,ABX88145,ABG15806
AAS62627,ABX85567,ABG14067
ABG14236,ABX87759,AAS62890
ABG16074,ABX85195,AAS63548
ABG16292,ABX88734,AAS58586
ABG12064,ABX87277,AAS63291
AAS61045,ABX86177,ABG14608
AAS62245,ABX85245,ABG13556
ABG15412,ABX85026,AAS60374
ABG12628,ABX87338,AAS61466
ABG13559,ABX85704,AAS62248
AAS61800,ABX87698,ABG13169
AAS61706,ABX85684,ABG12843
AAS60572,ABX85755,ABG14850
AAS64115,ABX88308,ABG14980
ABG13324,ABX85508,AAS62047
ABG14640,ABX86312,AAS61012
ABG12131,ABX88110,AAS63357
ABG14862,ABX87348,AAS60561
ABG12384,ABX85587,AAS63703
ABG15093,ABX88649,AAS63154
ABG14325,ABX85791,AAS62733
ABG12938,ABX85943,AAS61141
ABG12860,ABX85647,AAS61210
AAS62395,ABX88092,ABG13712
AAS62129,ABX86248,ABG13418
AAS61527,ABX87444,ABG12992
AAS62121,ABX86666,ABG13410
ABG12968,ABX88139,AAS61549
AAS60678,ABX88584,ABG15991
ABG12509,ABX87038,AAS62969
ABG14008,ABX87484,AAS62566
ABG15898,ABX87002,AAS60769
AAS61282,ABX85125,ABG12570
AAS62228,ABX87470,ABG13539
ABG12997,ABX87382,AAS61522
AAS63522,ABX86841,ABG15784
ABG15713,ABX87353,AAS63952
AAS61504,ABX88052,ABG12590
ABG15440,ABX87882,AAS60344
ABG12248,ABX88431,AAS63613
AAS60551,ABX87189,ABG14874
AAS62505,ABX88460,ABG13942
ABG14793,ABX86843,AAS60646
ABG13428,ABX86830,AAS62139
AAS61336,ABX87417,ABG14439
AAS62914,ABX86783,ABG14264
ABG14677,ABX87136,AAS60976
ABG13622,ABX85675,AAS62304
AAS63727,ABX86993,ABG12363
AAS58603,ABX88707,ABG16305
AAS62188,ABX86930,ABG13496
ABG13544,ABX85721,AAS62233
ABG14219,ABX85134,AAS62875
AAS63641,ABX86143,ABG12277
AAS62619,ABX86395,ABG14060
AAS61547,ABX86324,ABG12970
ABG13611,ABX85754,AAS62293
ABG12719,ABX85915,AAS61592
ABG14607,ABX85764,AAS61046
AAS61925,ABX88401,ABG13301
AAS61514,ABX86310,ABG12580
AAS61978,ABX86032,ABG13759
AAS62051,ABX84953,ABG13330
AAS60929,ABX85438,ABG14722
ABG16215,ABX84851,AAS58747
AAS62597,ABX88272,ABG14038
AAS61014,ABX88125,ABG14638
AAS62688,ABX88408,ABG14381
AAS61880,ABX88532,ABG13252
AAS61142,ABX86745,ABG12937
AAS60530,ABX85323,ABG14893
AAS61901,ABX84925,ABG13274
AAS60882,ABX85486,ABG14935
ABG14785,ABX88037,AAS60638
AAS62320,ABX87883,ABG13639
AAS62886,ABX86368,ABG14230
AAS62643,ABX85450,ABG14084
AAS61741,ABX87894,ABG13234
AAS60709,ABX87333,ABG15960
ABG12762,ABX86620,AAS61629
ABG16166,ABX84805,AAS58665
AAS61302,ABX85510,ABG12550
ABG15632,ABX85787,AAS64034
ABG15944,ABX88005,AAS60726
AAS63495,ABX85617,ABG15757
ABG12589,ABX88477,AAS61505
AAS60837,ABX85765,ABG12035
ABG13562,ABX86784,AAS62251
ABG13292,ABX88547,AAS61916
ABG14409,ABX86679,AAS62712
AAS62803,ABX88541,ABG14140
AAS61670,ABX86431,ABG12803
AAS63500,ABX86123,ABG15762
ABG13734,ABX87071,AAS62417
ABG12729,ABX85744,AAS63621
ABG15514,ABX86858,AAS63783
ABG13733,ABX87606,AAS62416
AAS58655,ABX84806,ABG16156
AAS61157,ABX86115,ABG12922
ABG14679,ABX86011,AAS60974
AAS62385,ABX88157,ABG13702
ABG13906,ABX88057,AAS62471
ABG13205,ABX87520,AAS61769
ABG14948,ABX85557,AAS60869
ABG15478,ABX86908,AAS60308
ABG13358,ABX87068,AAS62076
AAS62594,ABX85571,ABG14033
ABG15844,ABX88312,AAS63927
ABG14360,ABX87521,AAS62669
AAS60851,ABX86435,ABG12021
AAS62893,ABX85981,ABG14239
AAS60577,ABX85369,ABG14844
ABG13291,ABX88022,AAS61915
AAS60491,ABX85286,ABG15217
ABG12362,ABX88252,AAS62317
ABG14629,ABX88049,AAS61023
ABG13782,ABX87133,AAS61958
ABG15041,ABX88281,AAS63200
ABG15107,ABX87154,AAS63139
ABG12260,ABX86855,AAS63626
AAS63653,ABX85350,ABG12290
ABG12299,ABX85131,AAS63662
AAS62904,ABX85224,ABG14252
ABG12486,ABX87057,AAS62991
AAS61415,ABX86729,ABG12684
AAS63447,ABX85749,ABG15400
AAS58653,ABX84837,ABG16154
AAS58590,ABX88774,ABG16329
AAS60719,ABX88545,ABG15951
ABG13540,ABX84927,AAS62229
ABG16250,ABX88724,AAS58543
AAS61177,ABX88020,ABG12897
ABG14501,ABX86599,AAS61395
AAS62023,ABX88322,ABG13819
ABG16167,ABX84829,AAS58666
ABG15113,ABX86000,AAS63134
ABG12620,ABX86864,AAS61475
AAS61264,ABX86866,ABG13021
ABG15149,ABX88563,AAS63103
AAS60538,ABX86965,ABG14886
ABG15526,ABX87184,AAS63797
ABG14935,ABX85486,AAS60882
AAS63382,ABX87747,ABG12157
ABG13820,ABX85858,AAS62022
ABG15986,ABX85266,AAS60683
ABG15515,ABX88669,AAS63784
ABG12239,ABX85977,AAS63606
ABG14200,ABX86321,AAS62859
ABG14245,ABX84906,AAS62897
AAS61639,ABX85354,ABG12771
ABG15575,ABX87661,AAS63274
ABG14014,ABX85563,AAS62572
AAS62132,ABX88564,ABG13421
ABG13682,ABX87086,AAS62364
ABG15278,ABX87265,AAS60433
ABG15710,ABX85654,AAS63956
AAS62976,ABX87990,ABG12502
AAS61436,ABX87322,ABG12662
AAS58574,ABX88701,ABG16277
AAS61913,ABX87741,ABG13290
AAS63866,ABX87666,ABG16017
AAS61184,ABX87505,ABG12891
ABG12005,ABX87485,AAS63240
ABG14540,ABX88435,AAS61101
ABG13222,ABX86289,AAS61749
AAS60876,ABX85440,ABG14941
AAS63525,ABX85304,ABG15788
AAS61686,ABX86477,ABG12821
ABG14535,ABX86446,AAS61106
AAS62608,ABX87285,ABG14049
ABG15792,ABX87370,AAS63529
AAS62109,ABX85393,ABG13397
AAS63397,ABX85055,ABG12172
AAS60416,ABX86868,ABG15294
AAS60962,ABX88251,ABG14689
AAS58710,ABX84838,ABG16201
ABG15444,ABX86038,AAS60342
ABG14617,ABX87823,AAS61035
AAS63245,ABX88131,ABG12001
ABG13745,ABX87298,AAS62428
AAS60842,ABX86922,ABG12030
ABG12915,ABX85809,AAS61164
AAS63038,ABX85580,ABG12436
AAS62588,ABX87877,ABG14027
ABG13021,ABX86866,AAS61264
AAS61864,ABX85775,ABG13099
AAS60834,ABX86878,ABG12038
ABG15790,ABX86498,AAS63527
AAS61519,ABX88121,ABG13000
AAS60574,ABX86646,ABG14847
ABG14084,ABX85450,AAS62643
ABG13206,ABX85722,AAS61768
ABG12234,ABX85345,AAS60397
ABG13923,ABX85316,AAS62484
AAS60366,ABX86406,ABG15420
ABG13090,ABX87082,AAS61728
AAS64038,ABX88240,ABG15628
ABG12992,ABX87444,AAS61527
ABG15653,ABX85884,AAS64011
ABG12788,ABX88418,AAS61656
AAS63255,ABX84932,ABG11989
AAS62831,ABX87700,ABG14169
AAS62247,ABX88200,ABG13558
AAS61167,ABX85971,ABG12911
ABG12420,ABX87628,AAS63022
AAS63297,ABX87194,ABG12070
AAS60438,ABX85606,ABG15273
ABG15034,ABX85822,AAS63204
ABG13938,ABX84938,AAS62501
AAS61158,ABX85470,ABG12921
ABG14086,ABX88656,AAS62645
AAS64031,ABX87595,ABG15635
ABG15564,ABX84924,AAS63262
ABG12107,ABX86332,AAS63333
ABG14865,ABX85096,AAS60558
ABG15665,ABX87456,AAS64000
ABG16050,ABX88587,AAS63832
AAS62120,ABX86231,ABG13409
ABG12201,ABX87387,AAS63425
AAS63657,ABX84993,ABG12294
AAS60558,ABX85096,ABG14865
AAS60616,ABX85385,ABG14761
ABG12047,ABX87157,AAS60825
AAS62854,ABX87763,ABG14195
ABG14626,ABX85869,AAS61026
AAS63073,ABX85155,ABG15179
AAS63394,ABX86214,ABG12169
ABG15893,ABX84890,AAS60775
ABG12301,ABX87631,AAS63664
AAS58695,ABX84834,ABG16184
ABG16038,ABX85257,AAS63843
ABG14173,ABX88004,AAS62836
ABG12202,ABX86037,AAS63426
AAS62721,ABX86486,ABG14418
ABG13537,ABX86475,AAS62226
AAS63367,ABX87395,ABG12143
AAS61915,ABX88022,ABG13291
ABG13262,ABX85291,AAS61890
AAS60444,ABX84866,ABG15267
ABG13530,ABX87481,AAS62218
AAS62839,ABX84985,ABG14177
ABG13564,ABX86160,AAS62253
AAS61674,ABX87751,ABG12807
ABG15961,ABX88097,AAS60708
AAS63829,ABX85132,ABG16054
AAS61105,ABX87125,ABG14536
ABG15540,ABX87696,AAS63810
ABG12084,ABX85868,AAS63311
AAS62730,ABX87211,ABG14328
ABG12527,ABX86371,AAS62952
ABG12439,ABX86961,AAS63041
AAS62177,ABX85429,ABG13484
AAS60919,ABX86404,ABG14732
AAS61079,ABX87198,ABG14571
AAS63197,ABX86581,ABG15045
ABG14126,ABX87075,AAS62790
AAS63433,ABX85126,ABG12209
ABG14199,ABX87768,AAS62858
AAS63470,ABX86587,ABG15734
ABG13488,ABX88677,AAS62181
AAS58656,ABX84771,ABG16157
AAS60415,ABX87158,ABG15295
ABG15255,ABX85162,AAS60455
ABG14323,ABX85962,AAS62735
ABG16235,ABX84818,AAS58739
ABG13815,ABX85269,AAS62028
ABG16019,ABX87760,AAS63864
AAS63176,ABX86309,ABG15071
ABG12506,ABX85226,AAS62972
ABG16294,ABX88720,AAS58589
AAS62105,ABX87004,ABG13392
AAS62449,ABX85045,ABG13877
ABG15267,ABX84866,AAS60444
AAS63499,ABX85960,ABG15761
ABG15286,ABX87903,AAS60425
ABG13651,ABX85725,AAS62331
ABG14277,ABX88149,AAS62925
AAS62823,ABX86623,ABG14161
AAS62349,ABX88339,ABG13668
AAS61457,ABX84973,ABG12637
ABG16001,ABX86191,AAS63882
AAS61980,ABX87335,ABG13867
ABG13566,ABX86497,AAS62255
ABG15972,ABX86614,AAS60697
AAS61942,ABX85496,ABG13320
ABG14690,ABX87787,AAS60961
ABG12401,ABX87195,AAS63686
AAS60720,ABX88329,ABG15950
ABG13643,ABX86374,AAS62323
AAS58748,ABX84781,ABG16214
ABG14299,ABX84960,AAS62758
AAS61315,ABX87907,ABG12538
ABG15454,ABX88650,AAS60332
AAS62998,ABX86906,ABG12479
AAS61096,ABX87596,ABG14545
AAS60421,ABX85738,ABG15289
ABG12837,ABX87955,AAS61700
ABG15923,ABX88296,AAS60748
AAS63666,ABX86479,ABG12303
AAS61438,ABX87900,ABG12660
ABG15438,ABX85136,AAS60346
ABG12457,ABX85519,AAS63062
AAS61924,ABX87854,ABG13300
AAS60825,ABX87157,ABG12047
AAS63160,ABX87803,ABG15087
AAS60900,ABX88501,ABG14918
AAS62716,ABX88261,ABG14413
AAS63171,ABX85553,ABG15076
ABG14358,ABX88069,AAS62667
AAS63898,ABX88318,ABG15815
ABG14405,ABX85652,AAS62709
AAS62321,ABX87608,ABG13640
ABG14464,ABX87620,AAS61360
ABG14477,ABX87106,AAS61374
AAS61086,ABX85569,ABG14561
ABG14495,ABX87494,AAS61387
ABG14381,ABX88408,AAS62688
AAS62622,ABX85036,ABG14062
AAS62765,ABX86989,ABG14100
ABG13484,ABX85429,AAS62177
AAS61149,ABX87780,ABG12930
AAS64140,ABX85419,ABG16100
ABG15417,ABX87074,AAS60369
AAS63345,ABX87971,ABG12119
AAS60829,ABX85127,ABG12043
AAS62077,ABX87585,ABG13359
AAS62468,ABX87163,ABG13900
AAS63146,ABX85484,ABG15100
ABG16047,ABX87946,AAS63835
AAS61530,ABX86172,ABG12989
AAS58647,ABX84748,ABG16148
ABG15027,ABX87685,AAS63211
ABG12982,ABX85209,AAS61537
ABG13197,ABX85669,AAS61776
AAS62789,ABX87597,ABG14125
ABG12897,ABX88020,AAS61177
AAS60768,ABX87446,ABG15899
AAS63868,ABX86317,ABG16015
AAS61544,ABX86009,ABG12975
AAS61364,ABX88107,ABG14467
AAS62325,ABX87876,ABG13645
ABG15685,ABX86202,AAS63982
ABG15935,ABX86341,AAS60736
ABG12523,ABX85182,AAS62956
AAS63832,ABX88587,ABG16050
ABG12380,ABX87708,AAS63707
AAS61214,ABX85736,ABG12856
AAS62578,ABX87594,ABG14018
ABG13128,ABX87635,AAS61839
ABG16016,ABX87250,AAS63867
ABG15261,ABX86070,AAS60449
AAS60474,ABX86725,ABG15235
ABG12515,ABX87159,AAS62963
AAS62162,ABX87160,ABG13469
AAS63562,ABX85355,ABG16090
AAS61560,ABX86030,ABG12957
AAS60972,ABX86437,ABG14680
ABG12146,ABX87783,AAS63370
ABG15215,ABX88523,AAS60493
ABG12632,ABX85532,AAS61462
ABG12474,ABX88088,AAS63003
AAS61500,ABX85922,ABG12594
AAS60542,ABX84987,ABG14882
AAS61599,ABX85242,ABG12254
ABG14976,ABX85330,AAS64119
AAS60587,ABX88050,ABG14834
ABG15953,ABX85776,AAS60717
ABG14012,ABX86502,AAS62570
ABG14313,ABX88692,AAS62743
AAS62562,ABX84956,ABG14004
ABG13684,ABX88533,AAS62366
AAS62387,ABX86849,ABG13703
AAS60605,ABX87616,ABG14750
ABG15886,ABX88314,AAS60783
AAS61927,ABX87665,ABG13303
ABG12328,ABX88028,AAS63754
ABG14680,ABX86437,AAS60972
ABG12549,ABX86956,AAS61303
ABG14999,ABX84978,AAS64103
AAS63348,ABX85835,ABG12122
ABG13775,ABX86563,AAS61965
ABG12438,ABX88006,AAS63040
ABG15946,ABX85011,AAS60724
AAS63954,ABX85144,ABG15711
AAS60485,ABX88384,ABG15223
AAS63835,ABX87946,ABG16047
AAS64173,ABX85199,ABG16133
AAS63905,ABX85946,ABG15822
AAS61712,ABX86593,ABG13074
AAS62291,ABX85433,ABG13609
ABG14727,ABX86887,AAS60924
ABG12312,ABX85099,AAS63674
ABG13799,ABX86743,AAS62042
ABG14239,ABX85981,AAS62893
AAS61895,ABX85959,ABG13267
ABG16150,ABX84777,AAS58649
AAS58750,ABX84745,ABG16211
ABG15392,ABX87175,AAS63453
AAS63125,ABX86005,ABG15125
ABG14072,ABX87427,AAS62632
ABG12615,ABX86584,AAS61480
ABG14488,ABX86148,AAS61382
AAS61625,ABX87392,ABG12758
AAS61716,ABX87959,ABG13077
ABG13926,ABX85582,AAS62487
AAS60672,ABX88301,ABG14735
ABG15873,ABX85894,AAS60798
AAS60299,ABX85098,ABG15487
AAS63886,ABX85483,ABG15802
ABG15311,ABX86212,AAS60401
AAS62200,ABX87156,ABG13509
ABG14129,ABX85239,AAS62793
AAS63312,ABX87642,ABG12085
AAS60746,ABX87064,ABG15925
AAS62358,ABX88396,ABG13676
AAS62605,ABX85406,ABG14046
AAS62704,ABX84889,ABG14400
ABG15805,ABX88309,AAS63889
AAS60676,ABX85763,ABG15993
AAS62908,ABX87563,ABG14257
ABG14802,ABX87235,AAS60654
AAS63907,ABX87560,ABG15824
ABG13379,ABX87478,AAS62094
AAS61194,ABX87735,ABG12878
AAS61216,ABX86678,ABG12854
ABG12684,ABX86729,AAS61415
ABG13190,ABX87226,AAS61781
ABG12673,ABX87619,AAS61425
AAS60505,ABX86167,ABG15204
AAS62836,ABX88004,ABG14173
ABG14241,ABX86333,AAS62896
ABG15536,ABX88414,AAS63806
AAS63793,ABX87793,ABG15523
AAS62025,ABX86095,ABG13817
AAS63284,ABX88217,ABG15585
AAS63254,ABX88203,ABG11990
ABG14621,ABX86454,AAS61031
ABG14022,ABX85221,AAS62583
ABG15259,ABX87497,AAS60451
AAS61333,ABX85065,ABG14435
AAS60569,ABX87187,ABG14853
ABG12613,ABX86789,AAS61482
AAS58764,ABX84767,ABG16239
ABG15098,ABX88419,AAS63148
ABG14610,ABX87269,AAS61043
ABG12681,ABX87051,AAS61418
AAS61761,ABX86063,ABG13212
ABG15728,ABX86612,AAS63464
ABG12155,ABX85616,AAS63380
AAS63660,ABX85425,ABG12297
AAS61570,ABX86701,ABG12696
AAS62664,ABX86931,ABG14355
ABG14150,ABX87422,AAS62813
AAS60790,ABX85307,ABG15880
AAS61348,ABX87479,ABG14450
AAS64135,ABX85324,ABG14961
ABG12987,ABX86552,AAS61532
ABG15963,ABX87047,AAS60706
AAS63797,ABX87184,ABG15526
ABG14875,ABX86982,AAS60550
ABG13770,ABX85820,AAS61970
AAS61866,ABX88336,ABG13097
AAS62361,ABX88298,ABG13679
AAS61952,ABX88411,ABG13788
ABG15466,ABX85923,AAS60320
ABG16264,ABX88721,AAS58560
ABG15205,ABX87589,AAS60503
ABG12481,ABX85941,AAS62996
ABG14210,ABX85003,AAS62866
ABG15428,ABX87879,AAS60356
ABG12629,ABX86926,AAS61465
AAS62572,ABX85563,ABG14014
AAS63617,ABX86750,ABG12252
ABG15269,ABX87891,AAS60442
ABG14365,ABX85340,AAS62672
ABG14439,ABX87417,AAS61336
AAS62364,ABX87086,ABG13682
ABG16211,ABX84745,AAS58750
ABG15555,ABX88071,AAS63824
AAS62485,ABX86706,ABG13924
AAS63980,ABX88143,ABG15687
AAS63942,ABX85948,ABG15858
AAS61209,ABX85492,ABG12861
ABG13847,ABX85586,AAS62000
AAS60877,ABX88619,ABG14940
AAS63314,ABX87320,ABG12087
ABG12651,ABX87549,AAS61444
ABG16160,ABX84802,AAS58659
AAS63556,ABX85463,ABG16084
ABG15562,ABX88757,AAS60523
AAS62397,ABX85524,ABG13714
AAS63873,ABX87999,ABG16010
ABG14153,ABX86622,AAS62816
ABG14662,ABX87810,AAS60991
AAS61936,ABX85545,ABG13311
ABG12020,ABX86485,AAS60852
ABG13557,ABX87213,AAS62246
ABG15527,ABX88524,AAS63798
