AAS61939,ABX87162,ABG13314
AAS58643,ABX84765,ABG16143
AAS60772,ABX85732,ABG15895
ABG14835,ABX87850,AAS60586
AAS62513,ABX87140,ABG13954
AAS63334,ABX85911,ABG12108
ABG13230,ABX85933,AAS61744
ABG13986,ABX85690,AAS62545
AAS60910,ABX86591,ABG14905
ABG15762,ABX86123,AAS63500
ABG15816,ABX87465,AAS63899
AAS60335,ABX88228,ABG15451
AAS62719,ABX86653,ABG14416
AAS60848,ABX88510,ABG12024
AAS63825,ABX87710,ABG15556
ABG13987,ABX87968,AAS62546
ABG15588,ABX86928,AAS63287
ABG12837,ABX87955,AAS61700
ABG13246,ABX86006,AAS61874
ABG12360,ABX86966,AAS63729
ABG12121,ABX88611,AAS63347
ABG16261,ABX88714,AAS58557
ABG14211,ABX85487,AAS62867
AAS62196,ABX85376,ABG13505
ABG14081,ABX85991,AAS62640
ABG15527,ABX88524,AAS63798
AAS60679,ABX87012,ABG15990
AAS63538,ABX87528,ABG16063
AAS62548,ABX86883,ABG13989
AAS62008,ABX87281,ABG13838
AAS62162,ABX87160,ABG13469
ABG13276,ABX87328,AAS61903
ABG16041,ABX85823,AAS63969,AAS62350
AAS61860,ABX86462,ABG13105
AAS62726,ABX86521,ABG14331
AAS61090,ABX88537,ABG14554
AAS60631,ABX86670,ABG14778
AAS61796,ABX88066,ABG13173
ABG13866,ABX88444,AAS61981
ABG11982,ABX88341,AAS60291
ABG14662,ABX87810,AAS60991
AAS61352,ABX84918,ABG14454
ABG14771,ABX87267,AAS60625
ABG15485,ABX87273,AAS60301
AAS58598,ABX88747,ABG16301
ABG15968,ABX86792,AAS60701
AAS62444,ABX85152,ABG13872
ABG12892,ABX87752,AAS61182
ABG15049,ABX87668,AAS63193
ABG15812,ABX86234,AAS63895
AAS62718,ABX87475,ABG14415
ABG14052,ABX86085,AAS62611
AAS63954,ABX85144,ABG15711
ABG15817,ABX86918,AAS63900
AAS60488,ABX86285,ABG15220
ABG15187,ABX86315,AAS60522
AAS63147,ABX85091,ABG15099
AAS63036,ABX86318,ABG12434
ABG14170,ABX87166,AAS62832
AAS62253,ABX86160,ABG13564
AAS62078,ABX88009,ABG13360
ABG12909,ABX86938,AAS61169
AAS60341,ABX85338,ABG15445
ABG12936,ABX85120,AAS61143
AAS63605,ABX86059,ABG12238
AAS63306,ABX87066,ABG12079
AAS61388,ABX87662,ABG14496
AAS60944,ABX86377,ABG14709
ABG12893,ABX88280,AAS61181
AAS60291,ABX88341,ABG11982
AAS60830,ABX85457,ABG12042
ABG15095,ABX86449,AAS63152
AAS61159,ABX85088,ABG12920
ABG16016,ABX87250,AAS63867
ABG13734,ABX87071,AAS62417
ABG12975,ABX86009,AAS61544
ABG15463,ABX87376,AAS60323
AAS60388,ABX85137,ABG12226
AAS62511,ABX87609,ABG13952
AAS60827,ABX86190,ABG12045
ABG15632,ABX85787,AAS64034
ABG12430,ABX85789,AAS63032
ABG16171,ABX84763,AAS58670
ABG16027,ABX87796,AAS63856
AAS61728,ABX87082,ABG13090
ABG15692,ABX87297,AAS63975
ABG15488,ABX85611,AAS60298
ABG14059,ABX87663,AAS62618
AAS62844,ABX88359,ABG14182
AAS62881,ABX88159,ABG14225
ABG14121,ABX86848,AAS62785
ABG14294,ABX87630,AAS62763
AAS60943,ABX86759,ABG14710
AAS60572,ABX85755,ABG14850
ABG14007,ABX85431,AAS62565
ABG12678,ABX88127,AAS61421
AAS62484,ABX85316,ABG13923
ABG15166,ABX87667,AAS63086
AAS61274,ABX85468,ABG13009
ABG15453,ABX86768,AAS60333
AAS62445,ABX86702,ABG13873
AAS61319,ABX86530,ABG12535
AAS64127,ABX88054,ABG14969
AAS62662,ABX88001,ABG14353
AAS58553,ABX88773,ABG16258
AAS60507,ABX86863,ABG15202
AAS64174,ABX85968,ABG16134
ABG12326,ABX87169,AAS63756
AAS63961,ABX85629,ABG15705
ABG13188,ABX86924,AAS61783
ABG15770,ABX87366,AAS63508
ABG12038,ABX86878,AAS60834
AAS60962,ABX88251,ABG14689
ABG11983,ABX85312,AAS60292
ABG14635,ABX87165,AAS61017
ABG14904,ABX85321,AAS60911
ABG15534,ABX87758,AAS63803
AAS63956,ABX85654,ABG15710
ABG13505,ABX85376,AAS62196
AAS60438,ABX85606,ABG15273
ABG15802,ABX85483,AAS63886
AAS60297,ABX87932,ABG15489
AAS62107,ABX88467,ABG13395
ABG14227,ABX87114,AAS62883
AAS62808,ABX87007,ABG14144
ABG15761,ABX85960,AAS63499
ABG13258,ABX88274,AAS61886
AAS63824,ABX88071,ABG15555
ABG12245,ABX87460,AAS63610
AAS62352,ABX87992,ABG13670
AAS63057,ABX86257,ABG12453
AAS62407,ABX88430,ABG13725
AAS62693,ABX85766,ABG14386
AAS60885,ABX87546,ABG14931
ABG14495,ABX87494,AAS61387
AAS61769,ABX87520,ABG13205
ABG13408,ABX87765,AAS62119
AAS63645,ABX88424,ABG12281
AAS60570,ABX88694,ABG14852
AAS62368,ABX85089,ABG13686
AAS62178,ABX84900,ABG13485
AAS61167,ABX85971,ABG12911
AAS61055,ABX87260,ABG14598
ABG12370,ABX88374,AAS63718
ABG12897,ABX88020,AAS61177
AAS63370,ABX87783,ABG12146
ABG13774,ABX85179,AAS61966
ABG15277,ABX86278,AAS60434
AAS62130,ABX86683,ABG13419
ABG15877,ABX87024,AAS60794
AAS60967,ABX87196,ABG14684
AAS60624,ABX86229,ABG14770
AAS62415,ABX87000,ABG13732
AAS58540,ABX88768,ABG16247
AAS63943,ABX84754,ABG16071
AAS60728,ABX85845,ABG15942
ABG16072,ABX84779,AAS63944
ABG16020,ABX86891,AAS63863
ABG12651,ABX87549,AAS61444
ABG12559,ABX87961,AAS61293
ABG14224,ABX88622,AAS62880
ABG13119,ABX85292,AAS61846
AAS63864,ABX87760,ABG16019
ABG12224,ABX85146,AAS60386
ABG15232,ABX87300,AAS60477
AAS64030,ABX85807,ABG15636
ABG14833,ABX86538,AAS60588
AAS64065,ABX86022,ABG15602
ABG15305,ABX88605,AAS60405
AAS60320,ABX85923,ABG15466
AAS63682,ABX85238,ABG12405
AAS60328,ABX86270,ABG15458
ABG13747,ABX88570,AAS62431
AAS61373,ABX85853,ABG14475
AAS58523,ABX88713,ABG16310
ABG13380,ABX86806,AAS62095
ABG15445,ABX85338,AAS60341
ABG15948,ABX85815,AAS60722
ABG13482,ABX85464,AAS62175
ABG12470,ABX87115,AAS63004
ABG12803,ABX86431,AAS61670
ABG13767,ABX88632,AAS61973
ABG12987,ABX86552,AAS61532
ABG14412,ABX84951,AAS62715
ABG14958,ABX85347,AAS64136
ABG15182,ABX86319,AAS63070
AAS60801,ABX85416,ABG15870
AAS60706,ABX87047,ABG15963
ABG14011,ABX88307,AAS62569
AAS58728,ABX84780,ABG16226
ABG13659,ABX85584,AAS62340
ABG12268,ABX88042,AAS63635
ABG15392,ABX87175,AAS63453
AAS62612,ABX85642,ABG14053
AAS61909,ABX86219,ABG13286
ABG12192,ABX88299,AAS63416
AAS63367,ABX87395,ABG12143
ABG12791,ABX85615,AAS61659
AAS62626,ABX85172,ABG14066
AAS63609,ABX88136,ABG12242
AAS62139,ABX86830,ABG13428
ABG15276,ABX86655,AAS60435
AAS62973,ABX84971,ABG12505
AAS63909,ABX84874,ABG15826
AAS60334,ABX85219,ABG15452
ABG13822,ABX87102,AAS62020
AAS63072,ABX85485,ABG15180
ABG12247,ABX86649,AAS63612
AAS63188,ABX85860,ABG15056
AAS60544,ABX86247,ABG14881
AAS62779,ABX85282,ABG14115
ABG13115,ABX88508,AAS61850
AAS63314,ABX87320,ABG12087
AAS61932,ABX88642,ABG13308
AAS63985,ABX87859,ABG15680
AAS62984,ABX87857,ABG12494
ABG13350,ABX87993,AAS62068
ABG13083,ABX88671,AAS61722
ABG16156,ABX84806,AAS58655
AAS63123,ABX86349,ABG15128
ABG14882,ABX84987,AAS60542
AAS61694,ABX85244,ABG12831
AAS62711,ABX86820,ABG14408
AAS60558,ABX85096,ABG14865
AAS61795,ABX88604,ABG13174
AAS64004,ABX86362,ABG15659
AAS63282,ABX85664,ABG15583
ABG13376,ABX87441,AAS62090
ABG16046,ABX87325,AAS63836
AAS60740,ABX86314,ABG15931
AAS62419,ABX88682,ABG13736
AAS61501,ABX86450,ABG12593
ABG13255,ABX86097,AAS61883
ABG14435,ABX85065,AAS61333
ABG13094,ABX88316,AAS61869
AAS63780,ABX87455,ABG15511
AAS60749,ABX85640,ABG15922
ABG12647,ABX86758,AAS61448
ABG14313,ABX88692,AAS62743
AAS62794,ABX87500,ABG14130
AAS60607,ABX87504,ABG14753
ABG16030,ABX86033,AAS63852
AAS61818,ABX87849,ABG13151
AAS60723,ABX85548,ABG15947
AAS62434,ABX86417,ABG13750
ABG12498,ABX86195,AAS62980
ABG14156,ABX87412,AAS62819
ABG16018,ABX85367,AAS63865
AAS63492,ABX86894,ABG15754
AAS62561,ABX87548,ABG14003
ABG15098,ABX88419,AAS63148
AAS58644,ABX84852,ABG16144
AAS63350,ABX84995,ABG12124
ABG14932,ABX88446,AAS60884
AAS63686,ABX87195,ABG12401
AAS60912,ABX86826,ABG14903
ABG16325,ABX88751,AAS58548
ABG13367,ABX86788,AAS62084
AAS62787,ABX86719,ABG14123
AAS60853,ABX84870,ABG12019
ABG15920,ABX87050,AAS60751
ABG13935,ABX87508,AAS62498
ABG13339,ABX86465,AAS62057
AAS63366,ABX86557,ABG12142
AAS61557,ABX86136,ABG12960
ABG14964,ABX86306,AAS64132
ABG14722,ABX85438,AAS60929
AAS61270,ABX86971,ABG13015
ABG15295,ABX87158,AAS60415
ABG14484,ABX88196,AAS61380
AAS60565,ABX88496,ABG14857
AAS58541,ABX88722,ABG16248
AAS62663,ABX86398,ABG14354
ABG13643,ABX86374,AAS62323
ABG16162,ABX84862,AAS58661
AAS63212,ABX87844,ABG15026
ABG12696,ABX86701,AAS61570
ABG16240,ABX84791,AAS58765
AAS63743,ABX86815,ABG12341
ABG14353,ABX88001,AAS62662
ABG13888,ABX88392,AAS62457
AAS63155,ABX87402,ABG15092
ABG13835,ABX88353,AAS62011
ABG15872,ABX86512,AAS60799
AAS61056,ABX88064,ABG14597
AAS60561,ABX87348,ABG14862
AAS62330,ABX86162,ABG13650
AAS63960,ABX87292,ABG15706
ABG12772,ABX87535,AAS61640
AAS63400,ABX84936,ABG12175
ABG15201,ABX87299,AAS60508
ABG13737,ABX87452,AAS62420
ABG16003,ABX87302,AAS63880
ABG14449,ABX87785,AAS61347
ABG16281,ABX88786,AAS58577
AAS64165,ABX84961,ABG16125
ABG13606,ABX86962,AAS62288
ABG14660,ABX86161,AAS60993
ABG14391,ABX88184,AAS62698
AAS64027,ABX88500,ABG15639
AAS63116,ABX86519,ABG15135
ABG14020,ABX86503,AAS62580
AAS62871,ABX88485,ABG14215
AAS62807,ABX87435,ABG14143
AAS60323,ABX87376,ABG15463
ABG15388,ABX88526,AAS63458
AAS62331,ABX85725,ABG13651
ABG15423,ABX86344,AAS60362
ABG13291,ABX88022,AAS61915
AAS60667,ABX85599,ABG14814
AAS61328,ABX87290,ABG14427
ABG12374,ABX88267,AAS63714
ABG14373,ABX88674,AAS62680
ABG15437,ABX85774,AAS60347
AAS62803,ABX88541,ABG14140
ABG15409,ABX86112,AAS60379
ABG12477,ABX88013,AAS63000
ABG16159,ABX84793,AAS58658
AAS61580,ABX87682,ABG12706
AAS63223,ABX88278,ABG15011
ABG16115,ABX87910,AAS64155
AAS58603,ABX88707,ABG16305
AAS60972,ABX86437,ABG14680
AAS61133,ABX88635,ABG12692
AAS63263,ABX85402,ABG15565
AAS61906,ABX88449,ABG13283
AAS61383,ABX86152,ABG14489
AAS62866,ABX85003,ABG14210
AAS60559,ABX85626,ABG14864
ABG15234,ABX87967,AAS60475
ABG15879,ABX86159,AAS60791
AAS61864,ABX85775,ABG13099
AAS60361,ABX86034,ABG15424
AAS62604,ABX86302,ABG14045
AAS60623,ABX88586,ABG14769
AAS62464,ABX85560,ABG13895
ABG15065,ABX85619,AAS63182
ABG15483,ABX88417,AAS60303
ABG15581,ABX87303,AAS63280
AAS60599,ABX87033,ABG14744
ABG12863,ABX86921,AAS61207
AAS60826,ABX88633,ABG12046
ABG15452,ABX85219,AAS60334
ABG12155,ABX85616,AAS63380
ABG13149,ABX88443,AAS61820
ABG13765,ABX88191,AAS61975
AAS63110,ABX88187,ABG15141
ABG13517,ABX85015,AAS62208
AAS63424,ABX86582,ABG12200
ABG12330,ABX86860,AAS63752
ABG15701,ABX87393,AAS63966
ABG15757,ABX85617,AAS63495
ABG13838,ABX87281,AAS62008
ABG15309,ABX86389,AAS60403
ABG14154,ABX85274,AAS62817
AAS63127,ABX86845,ABG15123
ABG14413,ABX88261,AAS62716
ABG15646,ABX87942,AAS64020
ABG12434,ABX86318,AAS63036
ABG15217,ABX85286,AAS60491
ABG16180,ABX84746,AAS58690
AAS62583,ABX85221,ABG14022
AAS62183,ABX87633,ABG13490
AAS61493,ABX86105,ABG12600
AAS61937,ABX86511,ABG13312
ABG12193,ABX87749,AAS63417
AAS60612,ABX87482,ABG14758
ABG14637,ABX88687,AAS61015
ABG13683,ABX87592,AAS62365
AAS61640,ABX87535,ABG12772
AAS64023,ABX84996,ABG15643
ABG13876,ABX87388,AAS62448
ABG14172,ABX88581,AAS62835
ABG14048,ABX87924,AAS62607
ABG13108,ABX86458,AAS61857
ABG12105,ABX85449,AAS63331
ABG16155,ABX84772,AAS58654
AAS58733,ABX84817,ABG16223
ABG14574,ABX86166,AAS61076
AAS61766,ABX85886,ABG13207
AAS60880,ABX86322,ABG14937
ABG13104,ABX86307,AAS61861
ABG14808,ABX88566,AAS60660
ABG13941,ABX87127,AAS62504
ABG12403,ABX87975,AAS63684
AAS60503,ABX87589,ABG15205
AAS63770,ABX87491,ABG15501
ABG15611,ABX86459,AAS64056
AAS62205,ABX88011,ABG13513
AAS61282,ABX85125,ABG12570
ABG16295,ABX88709,AAS58592
AAS61738,ABX85788,ABG13237
ABG12222,ABX85670,AAS60384
ABG16176,ABX84787,AAS58684
AAS63285,ABX87806,ABG15586
ABG12087,ABX87320,AAS63314
ABG12985,ABX85193,AAS61534
AAS63655,ABX88591,ABG12292
ABG15985,ABX87008,AAS60684
AAS62000,ABX85586,ABG13847
ABG14392,ABX85610,AAS62699
AAS61463,ABX88287,ABG12631
ABG12679,ABX85667,AAS61420
AAS62446,ABX86274,ABG13874
ABG14284,ABX87797,AAS62933
AAS62467,ABX85612,ABG13898
AAS63550,ABX85556,ABG16076
AAS62903,ABX88320,ABG14251
ABG12947,ABX85373,AAS61136
ABG13721,ABX87218,AAS62405
ABG12231,ABX88578,AAS60395
ABG15447,ABX87067,AAS60339
AAS60602,ABX85503,ABG14747
ABG13287,ABX85254,AAS61910
AAS61442,ABX86766,ABG12653
AAS63221,ABX85453,ABG15016
ABG14919,ABX88061,AAS60899
ABG15419,ABX86590,AAS60367
ABG12505,ABX84971,AAS62973
AAS63083,ABX88413,ABG15169
ABG12090,ABX85329,AAS63317
ABG15614,ABX85856,AAS64053
ABG13547,ABX85161,AAS62236
AAS61484,ABX86053,ABG12611
AAS61573,ABX87009,ABG12699
ABG15911,ABX85213,AAS60757
AAS58670,ABX84763,ABG16171
AAS62099,ABX88124,ABG13386
AAS61149,ABX87780,ABG12930
AAS63239,ABX86948,ABG12006
ABG13809,ABX86277,AAS62034
ABG13672,ABX85070,AAS62354
ABG16270,ABX88764,AAS58566
ABG13961,ABX86320,AAS62521
ABG12408,ABX86929,AAS63679
ABG15949,ABX87023,AAS60721
ABG14763,ABX88425,AAS60618
ABG16304,ABX88785,AAS58538,ABG16322
ABG16251,ABX88705,AAS58544
ABG16091,ABX88376,AAS63563
ABG13586,ABX87317,AAS62269
ABG15585,ABX88217,AAS63284
AAS63929,ABX86972,ABG15846
ABG12958,ABX86408,AAS61559
ABG12406,ABX86414,AAS63681
ABG13097,ABX88336,AAS61866
ABG12829,ABX86093,AAS61692
AAS63750,ABX87360,ABG12333
ABG12084,ABX85868,AAS63311
ABG12211,ABX86430,AAS63435
ABG15921,ABX86492,AAS60750
ABG13338,ABX88067,AAS62056
AAS61031,ABX86454,ABG14621
ABG15780,ABX85214,AAS63518
AAS61561,ABX87334,ABG12956
AAS63284,ABX88217,ABG15585
AAS60474,ABX86725,ABG15235
AAS61315,ABX87907,ABG12538
AAS61505,ABX88477,ABG12589
AAS61974,ABX88180,ABG13766
AAS62875,ABX85134,ABG14219
ABG12835,ABX88393,AAS61698
