('AAS60567', 'ABX85497', 'ABG14855')
('ABG16104', 'ABX86526', 'AAS64144')
('ABG16033', 'ABX84810', 'AAS63678')
('AAS61487', 'ABX88441', 'ABG12607')
('ABG15728', 'ABX86612', 'AAS63464')
('ABG12214', 'ABX85709', 'AAS63438')
('AAS62896', 'ABX86333', 'ABG14241')
('AAS60440', 'ABX87953', 'ABG15271')
('AAS61915', 'ABX88022', 'ABG13291')
('AAS63953', 'ABX86734', 'ABG15712')
('AAS63350', 'ABX84995', 'ABG12124')
('ABG15277', 'ABX86278', 'AAS60434')
('AAS61706', 'ABX85684', 'ABG12843')
('AAS60476', 'ABX88386', 'ABG15233')
('AAS60762', 'ABX86253', 'ABG15904')
('ABG14892', 'ABX87794', 'AAS60532')
('AAS63189', 'ABX86163', 'ABG15055')
('ABG12567', 'ABX87276', 'AAS61285')
('AAS61852', 'ABX87408', 'ABG13113')
('ABG15096', 'ABX87148', 'AAS63150')
('AAS62903', 'ABX88320', 'ABG14251')
('AAS63930', 'ABX86775', 'ABG15847')
('ABG13734', 'ABX87071', 'AAS62417')
('ABG12519', 'ABX88016', 'AAS62959')
('ABG14041', 'ABX86943', 'AAS62600')
('ABG15615', 'ABX85305', 'AAS64052')
('ABG13790', 'ABX85653', 'AAS61950')
('AAS63493', 'ABX86712', 'ABG15755')
('ABG13275', 'ABX88103', 'AAS61902')
('AAS63822', 'ABX86018', 'ABG15553')
('AAS63333', 'ABX86332', 'ABG12107')
('AAS62565', 'ABX85431', 'ABG14007')
('ABG15233', 'ABX88386', 'AAS60476')
('ABG16056', 'ABX87786', 'AAS63827')
('ABG13876', 'ABX87388', 'AAS62448')
('AAS61827', 'ABX87270', 'ABG13142')
('AAS61091', 'ABX87998', 'ABG14553')
('ABG15800', 'ABX85831', 'AAS63884')
('AAS62445', 'ABX86702', 'ABG13873')
('AAS62707', 'ABX87229', 'ABG14403')
('AAS63424', 'ABX86582', 'ABG12200')
('AAS63000', 'ABX88013', 'ABG12477')
('ABG14757', 'ABX86209', 'AAS60611')
('ABG13301', 'ABX88401', 'AAS61925')
('ABG15010', 'ABX87829', 'AAS63224')
('AAS60416', 'ABX86868', 'ABG15294')
('ABG12221', 'ABX88195', 'AAS60383')
('ABG15427', 'ABX88434', 'AAS60357')
('ABG13508', 'ABX85833', 'AAS62199')
('ABG14373', 'ABX88674', 'AAS62680')
('AAS60686', 'ABX87956', 'ABG15983')
('AAS64063', 'ABX85154', 'ABG15604')
('ABG16259', 'ABX88759', 'AAS58555')
('AAS63973', 'ABX87202', 'ABG15694')
('ABG12206', 'ABX88354', 'AAS63430')
('AAS62077', 'ABX87585', 'ABG13359')
('AAS63664', 'ABX87631', 'ABG12301')
('ABG12721', 'ABX85980', 'AAS61594')
('AAS62981', 'ABX86610', 'ABG12497')
('ABG12259', 'ABX86016', 'AAS63625')
('ABG12066', 'ABX88360', 'AAS63293')
('ABG14040', 'ABX86639', 'AAS62599')
('AAS63026', 'ABX88211', 'ABG12424')
('AAS60397', 'ABX85345', 'ABG12234')
('ABG15573', 'ABX86537', 'AAS63272')
('ABG15784', 'ABX86841', 'AAS63522')
('ABG12527', 'ABX86371', 'AAS62952')
('ABG14477', 'ABX87106', 'AAS61374')
('ABG15643', 'ABX84996', 'AAS64023')
('AAS63399', 'ABX85066', 'ABG12174')
('ABG12028', 'ABX86586', 'AAS60844')
('AAS60500', 'ABX88442', 'ABG15208')
('ABG15547', 'ABX85467', 'AAS63817')
('ABG14862', 'ABX87348', 'AAS60561')
('AAS62945', 'ABX86206', 'ABG14093')
('ABG14613', 'ABX86065', 'AAS61040')
('AAS61447', 'ABX85520', 'ABG12648')
('ABG15913', 'ABX86722', 'AAS60755')
('ABG16035', 'ABX85290', 'AAS63846')
('ABG14961', 'ABX85324', 'AAS64135')
('AAS63437', 'ABX85439', 'ABG12213')
('AAS62291', 'ABX85433', 'ABG13609')
('ABG15951', 'ABX88545', 'AAS60719')
('ABG14390', 'ABX84974', 'AAS62697')
('ABG15656', 'ABX85073', 'AAS64009', 'ABG15655')
('AAS61898', 'ABX86493', 'ABG13271')
('ABG14610', 'ABX87269', 'AAS61043')
('AAS60419', 'ABX87800', 'ABG15291')
('ABG14180', 'ABX87979', 'AAS62842')
('ABG14020', 'ABX86503', 'AAS62580')
('ABG12863', 'ABX86921', 'AAS61207')
('ABG16000', 'ABX86259', 'AAS63883')
('ABG16155', 'ABX84772', 'AAS58654')
('ABG13186', 'ABX85405', 'AAS61785')
('AAS62661', 'ABX88625', 'ABG14352')
('AAS62298', 'ABX85382', 'ABG13617')
('ABG14052', 'ABX86085', 'AAS62611')
('AAS63190', 'ABX85025', 'ABG15054')
('AAS60771', 'ABX88093', 'ABG15896')
('ABG12930', 'ABX87780', 'AAS61149')
('AAS58576', 'ABX88752', 'ABG16280')
('AAS61858', 'ABX86900', 'ABG13107')
('AAS61634', 'ABX87378', 'ABG12766')
('AAS60874', 'ABX87208', 'ABG14943')
('AAS61340', 'ABX86125', 'ABG14442')
('ABG12333', 'ABX87360', 'AAS63750')
('ABG12549', 'ABX86956', 'AAS61303')
('AAS58567', 'ABX88733', 'ABG16271')
('AAS61422', 'ABX85711', 'ABG12677')
('AAS62033', 'ABX88447', 'ABG13810')
('ABG14312', 'ABX85370', 'AAS62744')
('ABG13036', 'ABX86305', 'AAS61248')
('AAS60331', 'ABX87851', 'ABG15455')
('ABG14331', 'ABX86521', 'AAS62726')
('AAS61982', 'ABX84876', 'ABG13865')
('ABG14708', 'ABX87342', 'AAS60945')
('ABG13698', 'ABX86565', 'AAS62381')
('ABG13017', 'ABX85046', 'AAS61268')
('AAS61151', 'ABX86960', 'ABG12928')
('AAS60487', 'ABX86955', 'ABG15221')
('ABG12458', 'ABX88482', 'AAS63063')
('ABG12222', 'ABX85670', 'AAS60384')
('AAS60784', 'ABX85248', 'ABG15885')
('AAS60407', 'ABX84880', 'ABG15303')
('AAS60363', 'ABX87598', 'ABG15422')
('ABG14727', 'ABX86887', 'AAS60924')
('AAS62421', 'ABX85777', 'ABG13738')
('AAS60682', 'ABX86656', 'ABG15987')
('AAS61004', 'ABX86338', 'ABG14649')
('AAS58560', 'ABX88721', 'ABG16264')
('ABG15028', 'ABX85715', 'AAS63210')
('AAS61720', 'ABX86073', 'ABG13081')
('ABG16305', 'ABX88707', 'AAS58603')
('AAS64153', 'ABX85426', 'ABG16113')
('AAS63314', 'ABX87320', 'ABG12087')
('ABG12468', 'ABX86412', 'AAS63006')
('ABG13251', 'ABX87949', 'AAS61879')
('ABG14307', 'ABX88615', 'AAS62749')
('ABG16040', 'ABX87808', 'AAS63841')
('AAS62071', 'ABX86041', 'ABG13353')
('ABG12910', 'ABX87551', 'AAS61168')
('ABG12493', 'ABX88292', 'AAS62985')
('ABG15211', 'ABX86386', 'AAS60497')
('ABG12917', 'ABX84976', 'AAS61162')
('AAS61139', 'ABX87568', 'ABG12944')
('ABG12109', 'ABX86744', 'AAS63335')
('ABG13209', 'ABX87251', 'AAS61764')
('AAS61254', 'ABX86091', 'ABG13030')
('AAS61854', 'ABX88497', 'ABG13111')
('ABG12700', 'ABX88366', 'AAS61574')
('AAS63268', 'ABX86426', 'ABG15570')
('AAS63251', 'ABX86967', 'ABG11995')
('AAS62753', 'ABX85106', 'ABG14303')
('ABG14145', 'ABX88269', 'AAS62809')
('ABG15083', 'ABX84908', 'AAS63164')
('ABG15619', 'ABX86981', 'AAS64048', 'AAS64049', 'ABG15618', 'ABX88474')
('ABG13282', 'ABX86556', 'AAS61905')
('ABG13466', 'ABX86352', 'AAS62159')
('AAS62046', 'ABX86895', 'ABG13323')
('ABG15843', 'ABX85111', 'AAS63926')
('AAS62509', 'ABX86201', 'ABG13947')
('AAS61403', 'ABX87720', 'ABG14510')
('AAS62571', 'ABX86805', 'ABG14013')
('AAS61159', 'ABX85088', 'ABG12920')
('ABG15464', 'ABX87022', 'AAS60322')
('ABG12958', 'ABX86408', 'AAS61559')
('AAS61683', 'ABX87532', 'ABG12816')
('AAS60930', 'ABX88305', 'ABG14721')
('ABG14320', 'ABX87327', 'AAS62738')
('AAS63091', 'ABX86284', 'ABG15161')
('AAS62434', 'ABX86417', 'ABG13750')
('AAS58542', 'ABX88738', 'ABG16249')
('ABG13540', 'ABX84927', 'AAS62229')
('ABG14224', 'ABX88622', 'AAS62880')
('ABG12406', 'ABX86414', 'AAS63681')
('ABG16117', 'ABX88540', 'AAS64157')
('AAS63996', 'ABX87576', 'ABG15669')
('ABG16227', 'ABX84846', 'AAS58683')
('AAS62342', 'ABX87896', 'ABG13661')
('AAS61003', 'ABX86153', 'ABG14650')
('AAS58644', 'ABX84852', 'ABG16144')
('ABG13692', 'ABX87869', 'AAS62374')
('ABG12913', 'ABX84991', 'AAS61165')
('AAS63063', 'ABX88482', 'ABG12458')
('AAS63161', 'ABX88231', 'ABG15086')
('AAS63294', 'ABX87922', 'ABG12067')
('ABG15819', 'ABX86637', 'AAS63902')
('ABG12707', 'ABX85511', 'AAS61581')
('AAS63287', 'ABX86928', 'ABG15588')
('ABG12802', 'ABX86031', 'AAS61669')
('ABG15512', 'ABX86262', 'AAS63781')
('AAS62744', 'ABX85370', 'ABG14312')
('AAS61319', 'ABX86530', 'ABG12535')
('AAS61729', 'ABX85887', 'ABG13091')
('ABG12129', 'ABX87117', 'AAS63355')
('ABG13518', 'ABX86354', 'AAS62209')
('AAS58763', 'ABX84843', 'ABG16238')
('ABG15549', 'ABX88654', 'AAS63819')
('ABG14576', 'ABX85075', 'AAS61074')
('ABG13206', 'ABX85722', 'AAS61768')
('AAS63105', 'ABX86222', 'ABG15146')
('AAS61432', 'ABX85522', 'ABG12666')
('AAS61290', 'ABX87268', 'ABG12562')
('AAS61713', 'ABX86064', 'ABG13075')
('ABG14626', 'ABX85869', 'AAS61026')
('ABG15523', 'ABX87793', 'AAS63793')
('ABG12336', 'ABX85666', 'AAS63748')
('ABG16119', 'ABX86481', 'AAS64159')
('AAS63653', 'ABX85350', 'ABG12290')
('AAS63389', 'ABX86872', 'ABG12164')
('ABG13693', 'ABX87084', 'AAS62375')
('AAS62273', 'ABX86886', 'ABG13589')
('ABG15539', 'ABX87404', 'AAS63809')
('AAS60837', 'ABX85765', 'ABG12035')
('AAS60727', 'ABX87716', 'ABG15943')
('ABG15982', 'ABX88382', 'AAS60687')
('AAS63340', 'ABX86380', 'ABG12114')
('AAS63420', 'ABX88601', 'ABG12196')
('ABG13081', 'ABX86073', 'AAS61720')
('AAS63061', 'ABX85589', 'ABG12456')
('AAS62387', 'ABX86849', 'ABG13703')
('ABG14419', 'ABX87132', 'AAS62722')
('ABG15498', 'ABX87884', 'AAS63767')
('ABG14064', 'ABX87137', 'AAS62624')
('ABG14746', 'ABX88041', 'AAS60601')
('ABG12556', 'ABX88624', 'AAS61296')
('AAS61339', 'ABX88543', 'ABG14441')
('AAS61788', 'ABX87440', 'ABG13183')
('AAS62654', 'ABX86217', 'ABG14344')
('ABG15034', 'ABX85822', 'AAS63204')
('AAS63924', 'ABX86597', 'ABG15841')
('AAS64154', 'ABX85539', 'ABG16114')
('AAS60698', 'ABX86100', 'ABG15971')
('ABG15113', 'ABX86000', 'AAS63134')
('ABG15767', 'ABX88628', 'AAS63505')
('AAS63890', 'ABX88145', 'ABG15806')
('AAS60724', 'ABX85011', 'ABG15946')
('AAS63425', 'ABX87387', 'ABG12201')
('ABG12273', 'ABX85080', 'AAS63637')
('ABG12770', 'ABX85295', 'AAS61638')
('ABG16242', 'ABX84784', 'AAS58767')
('AAS62370', 'ABX87681', 'ABG13688')
('AAS61066', 'ABX88385', 'ABG14587')
('ABG14729', 'ABX87220', 'AAS60922')
('ABG13738', 'ABX85777', 'AAS62421')
('AAS62991', 'ABX87057', 'ABG12486')
('AAS62457', 'ABX88392', 'ABG13888')
('AAS60851', 'ABX86435', 'ABG12021')
('ABG13352', 'ABX86453', 'AAS62070')
('AAS62394', 'ABX86704', 'ABG13711')
('ABG12286', 'ABX85398', 'AAS63648')
('AAS61044', 'ABX86844', 'ABG14609')
('AAS62233', 'ABX85721', 'ABG13544')
('ABG13218', 'ABX87155', 'AAS61754')
('AAS60711', 'ABX86950', 'ABG15958')
('AAS58547', 'ABX88706', 'ABG16254')
('AAS60464', 'ABX87694', 'ABG15244')
('ABG14030', 'ABX86281', 'AAS62591')
('ABG15418', 'ABX87610', 'AAS60368')
('AAS62818', 'ABX87025', 'ABG14155')
('ABG12733', 'ABX85896', 'AAS61604')
('AAS61572', 'ABX85368', 'ABG12698')
('AAS62971', 'ABX86046', 'ABG12507')
('ABG14091', 'ABX86542', 'AAS62947')
('ABG15751', 'ABX88499', 'AAS63489')
('ABG13956', 'ABX86040', 'AAS62515')
('AAS62890', 'ABX87759', 'ABG14236')
('ABG15299', 'ABX86494', 'AAS60411')
('AAS63841', 'ABX87808', 'ABG16040')
('ABG12148', 'ABX85256', 'AAS63372')
('AAS62610', 'ABX86730', 'ABG14051')
('ABG14844', 'ABX85369', 'AAS60577')
('ABG15280', 'ABX87228', 'AAS60431')
('ABG14034', 'ABX88055', 'AAS62595')
('ABG13663', 'ABX86870', 'AAS62344')
('AAS62412', 'ABX85183', 'ABG13729')
('ABG12177', 'ABX86793', 'AAS63403')
('ABG13779', 'ABX85352', 'AAS61961')
('ABG13535', 'ABX88286', 'AAS62224')
('AAS60859', 'ABX87309', 'ABG12013')
('AAS62095', 'ABX86806', 'ABG13380')
('ABG14928', 'ABX85444', 'AAS60888')
('AAS63132', 'ABX84931', 'ABG15115')
('ABG15704', 'ABX85287', 'AAS63962')
('ABG13724', 'ABX87880', 'AAS62406')
('ABG12637', 'ABX84973', 'AAS61457')
('AAS61687', 'ABX87514', 'ABG12822')
('ABG13999', 'ABX84975', 'AAS62557')
('AAS63831', 'ABX86746', 'ABG16051')
('AAS63357', 'ABX88110', 'ABG12131')
('ABG13856', 'ABX85420', 'AAS61991')
('AAS61198', 'ABX85145', 'ABG12872')
('ABG15571', 'ABX86856', 'AAS63269')
('AAS61264', 'ABX86866', 'ABG13021')
('AAS61352', 'ABX84918', 'ABG14454')
('AAS63356', 'ABX87981', 'ABG12130')
('AAS61890', 'ABX85291', 'ABG13262')
('ABG12374', 'ABX88267', 'AAS63714')
('AAS63778', 'ABX87754', 'ABG15509')
('AAS62295', 'ABX87450', 'ABG13614')
('AAS62371', 'ABX86267', 'ABG13689')
('ABG16049', 'ABX86854', 'AAS63833')
('AAS60778', 'ABX85559', 'ABG15891')
('ABG13009', 'ABX85468', 'AAS61274')
('ABG13935', 'ABX87508', 'AAS62498')
('AAS60373', 'ABX85490', 'ABG15413')
('AAS60904', 'ABX87336', 'ABG14914')
('ABG12238', 'ABX86059', 'AAS63605')
('AAS61397', 'ABX87489', 'ABG14503')
('AAS60854', 'ABX85384', 'ABG12018')
('AAS62236', 'ABX85161', 'ABG13547')
('AAS61612', 'ABX88582', 'ABG12743')
('AAS62914', 'ABX86783', 'ABG14264')
('AAS63310', 'ABX86330', 'ABG12083')
('ABG15753', 'ABX87421', 'AAS63491')
('ABG12045', 'ABX86190', 'AAS60827')
('AAS62583', 'ABX85221', 'ABG14022')
('ABG12951', 'ABX85516', 'AAS61565')
('AAS62426', 'ABX87469', 'ABG13743')
('ABG15036', 'ABX87192', 'AAS63202')
('AAS63549', 'ABX87912', 'ABG16075')
('ABG12182', 'ABX84914', 'AAS63408')
('ABG14067', 'ABX85567', 'AAS62627')
('AAS63888', 'ABX85133', 'ABG15804')
('AAS63863', 'ABX86891', 'ABG16020')
('ABG12030', 'ABX86922', 'AAS60842')
('AAS61921', 'ABX86340', 'ABG13297')
('AAS60509', 'ABX86258', 'ABG15200')
('AAS58736', 'ABX84796', 'ABG16220')
('ABG15804', 'ABX85133', 'AAS63888')
('ABG14251', 'ABX88320', 'AAS62903')
('ABG13827', 'ABX86846', 'AAS62016')
('AAS61057', 'ABX87677', 'ABG14596')
('AAS60783', 'ABX88314', 'ABG15886')
('ABG14938', 'ABX85919', 'AAS60879')
('AAS61488', 'ABX86710', 'ABG12606')
('ABG12391', 'ABX86696', 'AAS63697')
('ABG15830', 'ABX87889', 'AAS63914')
('ABG14121', 'ABX86848', 'AAS62785')
('AAS63336', 'ABX85957', 'ABG12110')
('ABG15833', 'ABX84867', 'AAS63916')
('ABG15950', 'ABX88329', 'AAS60720')
('ABG14993', 'ABX85325', 'AAS64107')
('AAS63967', 'ABX86992', 'ABG15700')
('AAS61504', 'ABX88052', 'ABG12590')
('AAS63885', 'ABX86643', 'ABG15801')
('AAS62852', 'ABX85596', 'ABG14193')
('AAS61705', 'ABX88315', 'ABG12842')
('AAS61008', 'ABX87980', 'ABG14645')
('ABG13928', 'ABX84883', 'AAS62489')
('ABG14383', 'ABX87622', 'AAS62690')
('AAS61084', 'ABX86697', 'ABG14565')
('ABG12052', 'ABX88025', 'AAS60820')
('AAS61874', 'ABX86006', 'ABG13246')
('ABG12887', 'ABX85299', 'AAS61188')
('AAS62165', 'ABX85105', 'ABG13472')
('AAS62093', 'ABX87001', 'ABG13378')
('AAS63859', 'ABX85264', 'ABG16024')
('AAS63313', 'ABX88481', 'ABG12086')
('ABG14235', 'ABX85757', 'AAS62889')
('ABG13562', 'ABX86784', 'AAS62251')
('AAS61005', 'ABX84868', 'ABG14648')
('AAS62605', 'ABX85406', 'ABG14046')
('AAS63753', 'ABX85663', 'ABG12329')
('ABG16201', 'ABX84838', 'AAS58710')
('AAS62234', 'ABX88113', 'ABG13545')
('ABG13530', 'ABX87481', 'AAS62218')
('ABG13678', 'ABX88118', 'AAS62360')
('AAS63650', 'ABX87600', 'ABG12287')
('ABG14257', 'ABX87563', 'AAS62908')
('ABG13200', 'ABX84949', 'AAS61773')
('AAS60794', 'ABX87024', 'ABG15877')
('AAS61947', 'ABX86794', 'ABG13793')
('ABG12196', 'ABX88601', 'AAS63420')
('AAS63856', 'ABX87796', 'ABG16027')
('ABG14392', 'ABX85610', 'AAS62699')
('AAS62662', 'ABX88001', 'ABG14353')
('ABG13866', 'ABX88444', 'AAS61981')
('ABG12869', 'ABX85697', 'AAS61201')
('AAS61825', 'ABX88399', 'ABG13144')
('ABG14105', 'ABX85169', 'AAS62770')
('ABG15276', 'ABX86655', 'AAS60435')
('AAS63362', 'ABX87819', 'ABG12138')
('AAS60325', 'ABX87908', 'ABG15461')
('AAS63119', 'ABX88594', 'ABG15132')
('AAS62208', 'ABX85015', 'ABG13517')
('ABG14414', 'ABX87974', 'AAS62717')
('AAS63298', 'ABX86491', 'ABG12071')
('ABG14980', 'ABX88308', 'AAS64115')
('ABG15881', 'ABX85735', 'AAS60789')
('AAS61682', 'ABX86365', 'ABG12815')
('ABG12442', 'ABX85604', 'AAS63044')
('AAS62618', 'ABX87663', 'ABG14059')
('ABG12420', 'ABX87628', 'AAS63022')
('AAS62768', 'ABX86636', 'ABG14103')
('AAS58543', 'ABX88724', 'ABG16250')
('ABG14442', 'ABX86125', 'AAS61340')
('ABG14770', 'ABX86229', 'AAS60624')
('AAS60873', 'ABX87684', 'ABG14944')
('ABG13128', 'ABX87635', 'AAS61839')
('AAS60606', 'ABX85706', 'ABG14751')
('AAS63846', 'ABX85290', 'ABG16035')
('AAS58528', 'ABX88777', 'ABG16313')
('ABG15272', 'ABX88428', 'AAS60439')
('ABG14397', 'ABX86117', 'AAS62702')
('AAS62874', 'ABX86424', 'ABG14218')
('AAS61622', 'ABX86554', 'ABG12755')
('AAS61698', 'ABX88393', 'ABG12835')
('ABG13747', 'ABX88570', 'AAS62431')
('AAS63521', 'ABX85014', 'ABG15783')
('AAS62420', 'ABX87452', 'ABG13737')
('AAS62619', 'ABX86395', 'ABG14060')
('ABG13937', 'ABX85343', 'AAS62500')
('AAS62289', 'ABX87636', 'ABG13607')
('AAS62193', 'ABX85879', 'ABG13503')
('ABG12069', 'ABX87719', 'AAS63296')
('AAS64057', 'ABX86857', 'ABG15610')
('AAS62808', 'ABX87007', 'ABG14144')
('AAS60953', 'ABX87442', 'ABG14698')
('ABG14300', 'ABX88152', 'AAS62756')
('ABG14100', 'ABX86989', 'AAS62765')
('AAS60346', 'ABX85136', 'ABG15438')
('AAS62164', 'ABX88324', 'ABG13471')
('ABG15835', 'ABX87718', 'AAS63918')
('ABG14756', 'ABX87802', 'AAS60610')
('AAS61098', 'ABX87822', 'ABG14543')
('ABG14103', 'ABX86636', 'AAS62768')
('AAS62713', 'ABX86039', 'ABG14410')
('ABG12590', 'ABX88052', 'AAS61504')
('ABG14675', 'ABX87041', 'AAS60978')
('ABG15158', 'ABX85846', 'AAS63095')
('AAS62709', 'ABX85652', 'ABG14405')
('AAS61277', 'ABX87473', 'ABG12575')
('ABG14181', 'ABX87901', 'AAS62843')
('AAS61866', 'ABX88336', 'ABG13097')
('ABG12277', 'ABX86143', 'AAS63641')
('AAS60748', 'ABX88296', 'ABG15923')
('ABG12093', 'ABX85173', 'AAS63320')
('AAS60510', 'ABX85153', 'ABG15199')
('AAS62229', 'ABX84927', 'ABG13540')
('AAS61499', 'ABX85878', 'ABG12595')
('AAS63769', 'ABX86808', 'ABG15500')
('AAS61381', 'ABX85585', 'ABG14487')
('ABG12660', 'ABX87900', 'AAS61438')
('AAS63916', 'ABX84867', 'ABG15833')
('ABG11990', 'ABX88203', 'AAS63254')
('AAS61180', 'ABX86301', 'ABG12894')
('AAS63096', 'ABX87168', 'ABG15156')
('ABG15130', 'ABX85308', 'AAS63121')
('AAS60581', 'ABX85588', 'ABG14839')
('ABG13193', 'ABX86343', 'AAS61778')
('ABG15026', 'ABX87844', 'AAS63212')
('AAS63028', 'ABX87490', 'ABG12426')
('AAS62374', 'ABX87869', 'ABG13692')
('AAS61026', 'ABX85869', 'ABG14626')
('ABG14450', 'ABX87479', 'AAS61348')
('AAS62049', 'ABX87983', 'ABG13328')
('AAS58747', 'ABX84851', 'ABG16215')
('AAS63654', 'ABX87807', 'ABG12291')
('ABG15529', 'ABX87496', 'AAS63800')
('AAS63805', 'ABX88129', 'ABG15535')
('ABG12962', 'ABX88551', 'AAS61555')
('AAS61020', 'ABX88468', 'ABG14632')
('ABG13947', 'ABX86201', 'AAS62509')
('ABG13994', 'ABX88553', 'AAS62552')
('AAS61396', 'ABX86101', 'ABG14502')
('ABG14294', 'ABX87630', 'AAS62763')
('AAS60467', 'ABX87581', 'ABG15241')
('ABG15754', 'ABX86894', 'AAS63492')
('AAS61028', 'ABX86621', 'ABG14624')
('ABG13981', 'ABX85655', 'AAS62540')
('ABG13954', 'ABX87140', 'AAS62513')
('AAS60810', 'ABX85714', 'ABG12060')
('AAS61150', 'ABX88205', 'ABG12929')
('ABG12995', 'ABX86288', 'AAS61524')
('AAS62925', 'ABX88149', 'ABG14277')
('ABG13897', 'ABX86423', 'AAS62466')
('ABG15254', 'ABX85573', 'AAS60456')
('AAS62037', 'ABX87617', 'ABG13805')
('AAS61937', 'ABX86511', 'ABG13312')
('ABG12846', 'ABX86685', 'AAS61708')
('AAS63743', 'ABX86815', 'ABG12341')
('AAS61844', 'ABX87647', 'ABG13124')
('ABG12287', 'ABX87600', 'AAS63650')
('AAS63662', 'ABX85131', 'ABG12299')
('ABG14520', 'ABX86889', 'AAS61127')
('AAS61260', 'ABX85289', 'ABG13025')
('AAS61458', 'ABX86416', 'ABG12636')
('AAS63247', 'ABX88597', 'ABG11999')
('ABG15268', 'ABX85379', 'AAS60443')
('ABG13613', 'ABX86299', 'AAS62294')
('AAS61552', 'ABX87385', 'ABG12965')
('AAS62515', 'ABX86040', 'ABG13956')
('AAS60486', 'ABX87738', 'ABG15222')
('ABG16028', 'ABX87641', 'AAS63854')
('ABG15553', 'ABX86018', 'AAS63822')
('ABG12514', 'ABX85850', 'AAS62964')
('AAS62201', 'ABX88648', 'ABG13510')
('AAS62937', 'ABX86543', 'ABG14288')
('ABG12732', 'ABX86963', 'AAS63624')
('ABG14086', 'ABX88656', 'AAS62645')
('AAS63378', 'ABX87372', 'ABG12153')
('AAS61147', 'ABX85260', 'ABG12932')
('ABG13571', 'ABX87048', 'AAS62260')
('ABG16129', 'ABX87010', 'AAS64169')
('ABG14167', 'ABX84939', 'AAS62829')
('AAS62908', 'ABX87563', 'ABG14257')
('AAS62976', 'ABX87990', 'ABG12502')
('ABG15716', 'ABX88080', 'AAS63949')
('AAS63125', 'ABX86005', 'ABG15125')
('ABG13273', 'ABX85380', 'AAS61900')
('ABG15892', 'ABX85310', 'AAS60776')
('AAS58581', 'ABX88730', 'ABG16285')
('ABG12604', 'ABX85734', 'AAS61490')
('AAS63799', 'ABX86055', 'ABG15528')
('AAS63226', 'ABX87778', 'ABG15008')
('AAS61579', 'ABX88119', 'ABG12705')
('ABG16085', 'ABX87931', 'AAS63557')
('AAS61401', 'ABX85813', 'ABG14508')
('ABG14323', 'ABX85962', 'AAS62735')
('AAS62942', 'ABX85658', 'ABG14096')
